#Gene	Rank	# rare mutations	avg # rare mutations per sample	# rare truncating mutations	avg # truncating mutations per sample
LTBP3	120	52	0.0474885844748858	19	0.017351598173516
MN1	121	52	0.0474885844748858	21	0.0191780821917808
DNAH5	122	52	0.0474885844748858	5	0.0045662100456621
SHANK1	123	52	0.0474885844748858	4	0.00365296803652968
ABCA2	124	52	0.0474885844748858	4	0.00365296803652968
AATK	125	52	0.0474885844748858	6	0.00547945205479452
C11ORF80	126	52	0.0474885844748858	41	0.0374429223744292
POLRMT	127	51	0.0465753424657534	3	0.00273972602739726
SOLH	128	51	0.0465753424657534	6	0.00547945205479452
CEP170B	129	51	0.0465753424657534	8	0.00730593607305936
CACNA1B	130	51	0.0465753424657534	5	0.0045662100456621
DNAH8	131	51	0.0465753424657534	3	0.00273972602739726
ABCA7	132	51	0.0465753424657534	11	0.0100456621004566
MUC22	133	50	0.045662100456621	3	0.00273972602739726
CUBN	134	50	0.045662100456621	4	0.00365296803652968
PDZD7	135	50	0.045662100456621	22	0.0200913242009132
GLTSCR1	136	50	0.045662100456621	4	0.00365296803652968
WDFY4	137	50	0.045662100456621	2	0.00182648401826484
CASKIN1	138	50	0.045662100456621	7	0.00639269406392694
DNAH7	139	50	0.045662100456621	12	0.010958904109589
DYNC2H1	140	50	0.045662100456621	5	0.0045662100456621
SGK223	141	50	0.045662100456621	25	0.0228310502283105
URB1	142	49	0.0447488584474886	3	0.00273972602739726
DUX4L2	143	49	0.0447488584474886	2	0.00182648401826484
PLXNB2	144	49	0.0447488584474886	6	0.00547945205479452
GPR144	145	49	0.0447488584474886	5	0.0045662100456621
KNDC1	146	49	0.0447488584474886	4	0.00365296803652968
COL7A1	147	49	0.0447488584474886	10	0.0091324200913242
DYSF	148	49	0.0447488584474886	10	0.0091324200913242
TENM4	149	48	0.0438356164383562	2	0.00182648401826484
ZNF717	150	48	0.0438356164383562	8	0.00730593607305936
PKHD1L1	151	48	0.0438356164383562	9	0.00821917808219178
MLL3	152	48	0.0438356164383562	8	0.00730593607305936
LRP1	153	48	0.0438356164383562	7	0.00639269406392694
DNAH14	154	48	0.0438356164383562	5	0.0045662100456621
ZNF107	155	47	0.0429223744292237	2	0.00182648401826484
SSC5D	156	47	0.0429223744292237	3	0.00273972602739726
LAMA1	157	47	0.0429223744292237	4	0.00365296803652968
EYS	158	47	0.0429223744292237	6	0.00547945205479452
WNK2	159	47	0.0429223744292237	4	0.00365296803652968
FAT2	160	47	0.0429223744292237	2	0.00182648401826484
MYO7A	161	47	0.0429223744292237	4	0.00365296803652968
PCNXL3	162	47	0.0429223744292237	6	0.00547945205479452
HERC2	163	47	0.0429223744292237	3	0.00273972602739726
SRRM2	164	47	0.0429223744292237	2	0.00182648401826484
PDE4DIP	165	47	0.0429223744292237	6	0.00547945205479452
ABCA13	166	47	0.0429223744292237	8	0.00730593607305936
PKHD1	167	47	0.0429223744292237	4	0.00365296803652968
DOCK6	168	47	0.0429223744292237	2	0.00182648401826484
SHANK3	169	46	0.0420091324200913	5	0.0045662100456621
DENND4B	170	46	0.0420091324200913	28	0.0255707762557078
LAMA3	171	46	0.0420091324200913	5	0.0045662100456621
FAT1	172	46	0.0420091324200913	1	0.00091324200913242
CSPG4	173	46	0.0420091324200913	2	0.00182648401826484
HECTD4	174	46	0.0420091324200913	6	0.00547945205479452
MYO18B	175	46	0.0420091324200913	8	0.00730593607305936
NBPF10	176	46	0.0420091324200913	1	0.00091324200913242
BAI1	177	46	0.0420091324200913	3	0.00273972602739726
OTOF	178	45	0.0410958904109589	6	0.00547945205479452
ACAN	179	45	0.0410958904109589	3	0.00273972602739726
NADK	180	45	0.0410958904109589	30	0.0273972602739726
MLL4	181	45	0.0410958904109589	4	0.00365296803652968
OPLAH	182	45	0.0410958904109589	6	0.00547945205479452
CSMD2	183	45	0.0410958904109589	3	0.00273972602739726
DNAH6	184	45	0.0410958904109589	8	0.00730593607305936
FAM186A	185	45	0.0410958904109589	6	0.00547945205479452
LFNG	186	45	0.0410958904109589	32	0.0292237442922374
PNPLA7	187	45	0.0410958904109589	4	0.00365296803652968
AIM1L	188	45	0.0410958904109589	5	0.0045662100456621
MYO7B	189	45	0.0410958904109589	3	0.00273972602739726
TTC28	190	45	0.0410958904109589	1	0.00091324200913242
XIRP2	191	45	0.0410958904109589	5	0.0045662100456621
DMD	192	44	0.0401826484018265	4	0.00365296803652968
HRNR	193	44	0.0401826484018265	3	0.00273972602739726
SIGLEC1	194	44	0.0401826484018265	3	0.00273972602739726
MIB2	195	44	0.0401826484018265	4	0.00365296803652968
MAGEC1	196	44	0.0401826484018265	14	0.0127853881278539
MDN1	197	44	0.0401826484018265	8	0.00730593607305936
PLXND1	198	44	0.0401826484018265	1	0.00091324200913242
RBMXL3	199	44	0.0401826484018265	1	0.00091324200913242
NBEAL2	200	44	0.0401826484018265	1	0.00091324200913242
FAT3	201	44	0.0401826484018265	3	0.00273972602739726
TRPM5	202	43	0.0392694063926941	5	0.0045662100456621
TTC21B	203	43	0.0392694063926941	20	0.0182648401826484
ULK1	204	43	0.0392694063926941	3	0.00273972602739726
BPTF	205	43	0.0392694063926941	14	0.0127853881278539
MYO18A	206	43	0.0392694063926941	1	0.00091324200913242
SHROOM2	207	43	0.0392694063926941	4	0.00365296803652968
ZC3H4	208	43	0.0392694063926941	7	0.00639269406392694
EVPL	209	43	0.0392694063926941	2	0.00182648401826484
TUBGCP6	210	43	0.0392694063926941	2	0.00182648401826484
C5	211	43	0.0392694063926941	2	0.00182648401826484
WDR90	212	43	0.0392694063926941	2	0.00182648401826484
FLNC	213	43	0.0392694063926941	1	0.00091324200913242
DNAH3	214	43	0.0392694063926941	9	0.00821917808219178
SACS	215	43	0.0392694063926941	5	0.0045662100456621
BIRC6	216	42	0.0383561643835616	2	0.00182648401826484
HUWE1	217	42	0.0383561643835616	6	0.00547945205479452
RAI1	218	42	0.0383561643835616	23	0.0210045662100457
VPS13C	219	42	0.0383561643835616	4	0.00365296803652968
CACNA1I	220	42	0.0383561643835616	6	0.00547945205479452
MYH14	221	42	0.0383561643835616	3	0.00273972602739726
FLG2	222	42	0.0383561643835616	5	0.0045662100456621
APOB	223	42	0.0383561643835616	4	0.00365296803652968
MACF1	224	42	0.0383561643835616	1	0.00091324200913242
CCDC88B	225	42	0.0383561643835616	3	0.00273972602739726
VPS13B	226	42	0.0383561643835616	3	0.00273972602739726
MYO9B	227	41	0.0374429223744292	3	0.00273972602739726
GRIN2C	228	41	0.0374429223744292	14	0.0127853881278539
HAS1	229	41	0.0374429223744292	16	0.0146118721461187
SEC16A	230	41	0.0374429223744292	5	0.0045662100456621
JAG2	231	41	0.0374429223744292	5	0.0045662100456621
HMHA1	232	41	0.0374429223744292	2	0.00182648401826484
CARD10	233	41	0.0374429223744292	19	0.017351598173516
HERC1	234	41	0.0374429223744292	2	0.00182648401826484
UNKL	235	41	0.0374429223744292	3	0.00273972602739726
ARID1B	236	41	0.0374429223744292	15	0.0136986301369863
SCAF1	237	41	0.0374429223744292	6	0.00547945205479452
RADIL	238	41	0.0374429223744292	3	0.00273972602739726
ESPN	239	41	0.0374429223744292	3	0.00273972602739726
TRPM2	240	41	0.0374429223744292	6	0.00547945205479452
FOXC1	241	41	0.0374429223744292	28	0.0255707762557078
LRP1B	242	40	0.0365296803652968	4	0.00365296803652968
LTBP2	243	40	0.0365296803652968	3	0.00273972602739726
ADRA2B	244	40	0.0365296803652968	22	0.0200913242009132
COL2A1	245	40	0.0365296803652968	1	0.00091324200913242
MICAL3	246	40	0.0365296803652968	2	0.00182648401826484
SKIDA1	247	40	0.0365296803652968	25	0.0228310502283105
DOPEY2	248	40	0.0365296803652968	2	0.00182648401826484
ZNF721	249	40	0.0365296803652968	4	0.00365296803652968
TNS1	250	40	0.0365296803652968	5	0.0045662100456621
ARHGAP23	251	40	0.0365296803652968	1	0.00091324200913242
AR	252	40	0.0365296803652968	27	0.0246575342465753
FRAS1	253	40	0.0365296803652968	3	0.00273972602739726
ACIN1	254	40	0.0365296803652968	23	0.0210045662100457
OBSL1	255	40	0.0365296803652968	3	0.00273972602739726
BCL6B	256	40	0.0365296803652968	33	0.0301369863013699
LAMA2	257	40	0.0365296803652968	2	0.00182648401826484
PPM1E	258	40	0.0365296803652968	34	0.0310502283105023
HSPBP1	259	40	0.0365296803652968	25	0.0228310502283105
CHD5	260	40	0.0365296803652968	2	0.00182648401826484
IQSEC2	261	40	0.0365296803652968	6	0.00547945205479452
GPR124	262	39	0.0356164383561644	4	0.00365296803652968
SPTBN2	263	39	0.0356164383561644	1	0.00091324200913242
NOS3	264	39	0.0356164383561644	1	0.00091324200913242
WDR87	265	39	0.0356164383561644	9	0.00821917808219178
ZFYVE28	266	39	0.0356164383561644	2	0.00182648401826484
MRC2	267	39	0.0356164383561644	6	0.00547945205479452
COL6A3	268	39	0.0356164383561644	2	0.00182648401826484
GLI2	269	39	0.0356164383561644	5	0.0045662100456621
ANO7	270	39	0.0356164383561644	7	0.00639269406392694
DCP1B	271	39	0.0356164383561644	34	0.0310502283105023
POLE	272	39	0.0356164383561644	7	0.00639269406392694
PLXNA3	273	39	0.0356164383561644	5	0.0045662100456621
FBRSL1	274	39	0.0356164383561644	3	0.00273972602739726
SBNO2	275	39	0.0356164383561644	6	0.00547945205479452
SETD1B	276	39	0.0356164383561644	6	0.00547945205479452
ABCA4	277	39	0.0356164383561644	5	0.0045662100456621
MYCBP2	278	39	0.0356164383561644	3	0.00273972602739726
CEP250	279	39	0.0356164383561644	5	0.0045662100456621
LRP2	280	39	0.0356164383561644	4	0.00365296803652968
FLNA	281	39	0.0356164383561644	3	0.00273972602739726
ADAMTS13	282	38	0.034703196347032	2	0.00182648401826484
FAM83H	283	38	0.034703196347032	5	0.0045662100456621
SBF1	284	38	0.034703196347032	3	0.00273972602739726
VWA5B2	285	38	0.034703196347032	5	0.0045662100456621
ZFHX4	286	38	0.034703196347032	3	0.00273972602739726
COL5A1	287	38	0.034703196347032	1	0.00091324200913242
IRS2	288	38	0.034703196347032	4	0.00365296803652968
DMXL2	289	38	0.034703196347032	6	0.00547945205479452
FREM2	290	38	0.034703196347032	2	0.00182648401826484
ZNF208	291	38	0.034703196347032	3	0.00273972602739726
UNC80	292	38	0.034703196347032	2	0.00182648401826484
SREBF1	293	38	0.034703196347032	6	0.00547945205479452
PIEZO2	294	38	0.034703196347032	5	0.0045662100456621
CHTF18	295	38	0.034703196347032	1	0.00091324200913242
TG	296	38	0.034703196347032	5	0.0045662100456621
CNTNAP3B	297	37	0.0337899543378995	4	0.00365296803652968
ARHGEF18	298	37	0.0337899543378995	1	0.00091324200913242
ITPR3	299	37	0.0337899543378995	3	0.00273972602739726
MXRA5	300	37	0.0337899543378995	2	0.00182648401826484
FHAD1	301	37	0.0337899543378995	3	0.00273972602739726
TAS1R3	302	37	0.0337899543378995	2	0.00182648401826484
TBP	303	37	0.0337899543378995	33	0.0301369863013699
HCFC1	304	37	0.0337899543378995	4	0.00365296803652968
MAN2C1	305	37	0.0337899543378995	2	0.00182648401826484
UNC13A	306	37	0.0337899543378995	3	0.00273972602739726
KIF26B	307	37	0.0337899543378995	4	0.00365296803652968
NUP210	308	37	0.0337899543378995	2	0.00182648401826484
CPAMD8	309	37	0.0337899543378995	5	0.0045662100456621
PLEKHG4B	310	37	0.0337899543378995	4	0.00365296803652968
LOR	311	37	0.0337899543378995	31	0.028310502283105
VWF	312	37	0.0337899543378995	2	0.00182648401826484
RECQL4	313	37	0.0337899543378995	4	0.00365296803652968
ITGB4	314	37	0.0337899543378995	2	0.00182648401826484
TERT	315	37	0.0337899543378995	5	0.0045662100456621
QRICH2	316	36	0.0328767123287671	2	0.00182648401826484
ARHGAP4	317	36	0.0328767123287671	2	0.00182648401826484
ANKRD11	318	36	0.0328767123287671	5	0.0045662100456621
CUX1	319	36	0.0328767123287671	2	0.00182648401826484
APOBR	320	36	0.0328767123287671	5	0.0045662100456621
USP34	321	36	0.0328767123287671	0	0
CCDC88C	322	36	0.0328767123287671	2	0.00182648401826484
MYBBP1A	323	36	0.0328767123287671	2	0.00182648401826484
VWA8	324	36	0.0328767123287671	7	0.00639269406392694
ATM	325	36	0.0328767123287671	4	0.00365296803652968
PTPRS	326	36	0.0328767123287671	5	0.0045662100456621
FAM157A	327	36	0.0328767123287671	31	0.028310502283105
PCDH12	328	36	0.0328767123287671	25	0.0228310502283105
ZFPM1	329	36	0.0328767123287671	7	0.00639269406392694
LMTK3	330	36	0.0328767123287671	4	0.00365296803652968
PPP1R37	331	36	0.0328767123287671	4	0.00365296803652968
PRR12	332	36	0.0328767123287671	3	0.00273972602739726
CLUH	333	36	0.0328767123287671	3	0.00273972602739726
FNDC1	334	35	0.0319634703196347	4	0.00365296803652968
EHBP1L1	335	35	0.0319634703196347	4	0.00365296803652968
ADAM8	336	35	0.0319634703196347	3	0.00273972602739726
EPS8L1	337	35	0.0319634703196347	4	0.00365296803652968
DNAH2	338	35	0.0319634703196347	2	0.00182648401826484
ANK3	339	35	0.0319634703196347	1	0.00091324200913242
COL4A2	340	35	0.0319634703196347	7	0.00639269406392694
SLC2A7	341	35	0.0319634703196347	14	0.0127853881278539
MYOM1	342	35	0.0319634703196347	5	0.0045662100456621
DSPP	343	35	0.0319634703196347	16	0.0146118721461187
FANCA	344	35	0.0319634703196347	3	0.00273972602739726
MPRIP	345	35	0.0319634703196347	17	0.0155251141552511
MAST4	346	35	0.0319634703196347	6	0.00547945205479452
FUK	347	35	0.0319634703196347	2	0.00182648401826484
COL22A1	348	35	0.0319634703196347	7	0.00639269406392694
SNAPC4	349	35	0.0319634703196347	4	0.00365296803652968
CDC42BPG	350	35	0.0319634703196347	1	0.00091324200913242
SPEN	351	35	0.0319634703196347	9	0.00821917808219178
CRYBG3	352	35	0.0319634703196347	1	0.00091324200913242
WDR81	353	35	0.0319634703196347	1	0.00091324200913242
RYR2	354	35	0.0319634703196347	1	0.00091324200913242
PLXNB1	355	35	0.0319634703196347	2	0.00182648401826484
SDK1	356	35	0.0319634703196347	4	0.00365296803652968
RPGR	357	35	0.0319634703196347	9	0.00821917808219178
LAMC3	358	35	0.0319634703196347	5	0.0045662100456621
TECPR1	359	35	0.0319634703196347	6	0.00547945205479452
HCN4	360	34	0.0310502283105023	1	0.00091324200913242
REXO1	361	34	0.0310502283105023	4	0.00365296803652968
ATXN1	362	34	0.0310502283105023	26	0.0237442922374429
PCDH8	363	34	0.0310502283105023	2	0.00182648401826484
MSH2	364	34	0.0310502283105023	9	0.00821917808219178
PCNXL2	365	34	0.0310502283105023	1	0.00091324200913242
BZRAP1	366	34	0.0310502283105023	5	0.0045662100456621
CPSF1	367	34	0.0310502283105023	7	0.00639269406392694
MAGI1	368	34	0.0310502283105023	26	0.0237442922374429
PTPN23	369	34	0.0310502283105023	6	0.00547945205479452
COL20A1	370	34	0.0310502283105023	6	0.00547945205479452
PRRC2B	371	34	0.0310502283105023	1	0.00091324200913242
DIDO1	372	34	0.0310502283105023	2	0.00182648401826484
MED12	373	34	0.0310502283105023	14	0.0127853881278539
SVEP1	374	34	0.0310502283105023	1	0.00091324200913242
CCDC180	375	34	0.0310502283105023	20	0.0182648401826484
VPS13D	376	34	0.0310502283105023	1	0.00091324200913242
TRRAP	377	34	0.0310502283105023	0	0
TCF3	378	34	0.0310502283105023	4	0.00365296803652968
BAI2	379	34	0.0310502283105023	2	0.00182648401826484
DGKQ	380	34	0.0310502283105023	6	0.00547945205479452
PLEKHG5	381	34	0.0310502283105023	4	0.00365296803652968
CASKIN2	382	34	0.0310502283105023	3	0.00273972602739726
PTPRF	383	34	0.0310502283105023	0	0
ZNF880	384	34	0.0310502283105023	3	0.00273972602739726
ZFR2	385	34	0.0310502283105023	4	0.00365296803652968
AKAP13	386	34	0.0310502283105023	3	0.00273972602739726
BAIAP2L2	387	33	0.0301369863013699	22	0.0200913242009132
RGS12	388	33	0.0301369863013699	1	0.00091324200913242
ARVCF	389	33	0.0301369863013699	4	0.00365296803652968
KIF7	390	33	0.0301369863013699	5	0.0045662100456621
ZMYM3	391	33	0.0301369863013699	5	0.0045662100456621
RHPN1	392	33	0.0301369863013699	6	0.00547945205479452
CASZ1	393	33	0.0301369863013699	8	0.00730593607305936
PPL	394	33	0.0301369863013699	2	0.00182648401826484
CMYA5	395	33	0.0301369863013699	4	0.00365296803652968
COL9A3	396	33	0.0301369863013699	6	0.00547945205479452
ALPK3	397	33	0.0301369863013699	5	0.0045662100456621
CCDC108	398	33	0.0301369863013699	3	0.00273972602739726
RALGAPA2	399	33	0.0301369863013699	7	0.00639269406392694
ANKRD24	400	33	0.0301369863013699	4	0.00365296803652968
ABCC6	401	33	0.0301369863013699	6	0.00547945205479452
STAB1	402	33	0.0301369863013699	5	0.0045662100456621
CDAN1	403	33	0.0301369863013699	3	0.00273972602739726
FAM157B	404	33	0.0301369863013699	32	0.0292237442922374
POLD1	405	33	0.0301369863013699	2	0.00182648401826484
MAP1S	406	33	0.0301369863013699	1	0.00091324200913242
RLTPR	407	33	0.0301369863013699	2	0.00182648401826484
ZNF598	408	33	0.0301369863013699	7	0.00639269406392694
TENM3	409	33	0.0301369863013699	4	0.00365296803652968
MMP17	410	33	0.0301369863013699	10	0.0091324200913242
MEGF11	411	33	0.0301369863013699	4	0.00365296803652968
CC2D2A	412	33	0.0301369863013699	7	0.00639269406392694
AKAP9	413	33	0.0301369863013699	5	0.0045662100456621
OTOGL	414	33	0.0301369863013699	7	0.00639269406392694
KIF13B	415	33	0.0301369863013699	2	0.00182648401826484
PRDM6	416	33	0.0301369863013699	17	0.0155251141552511
UNC13D	417	33	0.0301369863013699	2	0.00182648401826484
PLEKHA7	418	33	0.0301369863013699	3	0.00273972602739726
ESPNL	419	33	0.0301369863013699	5	0.0045662100456621
TRIO	420	33	0.0301369863013699	5	0.0045662100456621
SLX4	421	33	0.0301369863013699	4	0.00365296803652968
TTLL10	422	33	0.0301369863013699	6	0.00547945205479452
AHDC1	423	33	0.0301369863013699	5	0.0045662100456621
UTRN	424	33	0.0301369863013699	1	0.00091324200913242
SIPA1L3	425	33	0.0301369863013699	4	0.00365296803652968
SALL3	426	33	0.0301369863013699	4	0.00365296803652968
PLXNA1	427	32	0.0292237442922374	3	0.00273972602739726
SDK2	428	32	0.0292237442922374	5	0.0045662100456621
BAIAP3	429	32	0.0292237442922374	5	0.0045662100456621
SZT2	430	32	0.0292237442922374	3	0.00273972602739726
GPR179	431	32	0.0292237442922374	5	0.0045662100456621
SUPT20HL1	432	32	0.0292237442922374	22	0.0200913242009132
ZNF493	433	32	0.0292237442922374	4	0.00365296803652968
GREB1	434	32	0.0292237442922374	2	0.00182648401826484
PRDM15	435	32	0.0292237442922374	3	0.00273972602739726
FMN2	436	32	0.0292237442922374	6	0.00547945205479452
SCN5A	437	32	0.0292237442922374	3	0.00273972602739726
TONSL	438	32	0.0292237442922374	2	0.00182648401826484
SVIL	439	32	0.0292237442922374	6	0.00547945205479452
FLYWCH1	440	32	0.0292237442922374	4	0.00365296803652968
DGKZ	441	32	0.0292237442922374	4	0.00365296803652968
SLIT3	442	32	0.0292237442922374	2	0.00182648401826484
ACE	443	32	0.0292237442922374	4	0.00365296803652968
ANK1	444	32	0.0292237442922374	2	0.00182648401826484
RRP12	445	32	0.0292237442922374	5	0.0045662100456621
AZI1	446	32	0.0292237442922374	6	0.00547945205479452
DVL1	447	32	0.0292237442922374	6	0.00547945205479452
STAB2	448	32	0.0292237442922374	1	0.00091324200913242
KCNT1	449	32	0.0292237442922374	1	0.00091324200913242
MGAM	450	32	0.0292237442922374	5	0.0045662100456621
ADAM33	451	32	0.0292237442922374	6	0.00547945205479452
PCM1	452	32	0.0292237442922374	6	0.00547945205479452
TENM2	453	32	0.0292237442922374	0	0
PRRT4	454	32	0.0292237442922374	2	0.00182648401826484
NPHP4	455	32	0.0292237442922374	2	0.00182648401826484
MAMDC4	456	32	0.0292237442922374	6	0.00547945205479452
LURAP1L	457	32	0.0292237442922374	25	0.0228310502283105
MED16	458	32	0.0292237442922374	2	0.00182648401826484
SEMA5B	459	32	0.0292237442922374	1	0.00091324200913242
ZNF728	460	32	0.0292237442922374	3	0.00273972602739726
DYNC1H1	461	32	0.0292237442922374	2	0.00182648401826484
ADAMTS2	462	32	0.0292237442922374	7	0.00639269406392694
FMN1	463	32	0.0292237442922374	2	0.00182648401826484
CUL9	464	32	0.0292237442922374	1	0.00091324200913242
CEP350	465	31	0.028310502283105	0	0
MED15	466	31	0.028310502283105	24	0.0219178082191781
PCSK5	467	31	0.028310502283105	5	0.0045662100456621
ARHGAP39	468	31	0.028310502283105	3	0.00273972602739726
NACAD	469	31	0.028310502283105	1	0.00091324200913242
